Model,Seats,Fuel burn(kg/km)
Airbus A220,137,2.355
Airbus A220-100,125,2.28
Airbus A220-300,148,2.43
Airbus A318,132,2.903
Airbus A319,124,2.93
Airbus A319Neo,136,2.4 
Airbus A320,150,3.02
Airbus A321,180,3.61
Airbus A321-200,180,3.61
Airbus A321NeoLR,154,2.99
Airbus A330,269,5.95
Airbus A330-200,259,6.125
Airbus A330-300,262,6.25
Airbus A330neo-800,248,5.45
Airbus A330neo-900,305,5.97
Airbus A340,262,7.065
Airbus A340-300,262,7.065
Airbus A350,315,6.55
Airbus A350-900,315,6.55
Airbus A380,535,13.7
Antonov An-148 (1190 nmi),89,2.75
Antonov An-158 (1190 nmi),99,2.83
Boeing 737 ,155,2.98
Boeing 737 MAX-7,140,2.51
Boeing 737 MAX-8,165,2.785
Boeing 737 MAX-9,162,2.91
Boeing 737-600,110,2.77
Boeing 737-700,127,2.82
Boeing 737-800,161,3.31
Boeing 737-800W,162,3.18
Boeing 737-900,179,3.184
Boeing 737-900ER,180,3.42
Boeing 737-900ERW,180,3.42
Boeing 747,432,10.8
Boeing 747-400,416,10.9
Boeing 747-8,447,10.7
Boeing 757,199,4.28
Boeing 757-200,195,4.38
Boeing 757-200W,158,3.79
Boeing 757-300,243,4.68
Boeing 767,240,5.41
Boeing 767-200ER,200,4.92
Boeing 767-300ER,235,5.43
Boeing 767-400ER,284,5.88
Boeing 777,336,7.53
Boeing 777-200,305,6.83
Boeing 777-200ER,301,7
Boeing 777-200LR,291,7.27
Boeing 777-300,368,7.88
Boeing 777-300ER,355,8.535
Boeing 777-9X,395,7.69
Boeing 787,279,5.68
Boeing 787-8,258,5.25
Boeing 787-9,299,6.11
Irkut MC-21,163,3.04
Quest Kodiak,9,0.71
avg,238,5.34
